调查时间,虫口密度,发生程度分级,平均日降水量（30天）,平均气压（30天）,平均风速（30天）,平均温度（30天）,平均水汽压（30天）,平均相对湿度（30天）,平均2020时日照时数（30天）,平均气压日较差（30天）,平均最大风速（30天）,平均气温日较差（30天）,33℃以上及-8℃以下温度天数（30天）,平均日降水量（60天）,平均气压（60天）,平均风速（60天）,平均温度（60天）,平均水汽压（60天）,平均相对湿度（60天）,平均2020时日照时数（60天）,平均气压日较差（60天）,平均最大风速（60天）,平均气温日较差（60天）,33℃以上及-8℃以下温度天数（60天）,平均日降水量（90天）,平均气压（90天）,平均风速（90天）,平均温度（90天）,平均水汽压（90天）,平均相对湿度（90天）,平均2020时日照时数（90天）,平均气压日较差（90天）,平均最大风速（90天）,平均气温日较差（90天）,33℃以上及-8℃以下温度天数（90天）
2008.02.25,37.2001 ,4,0.5 ,10228.9 ,14.2 ,-9.6 ,30.7 ,55.6 ,62.4 ,57.0 ,37.0 ,115.9 ,7,1.9 ,10228.6 ,15.2 ,-10.8 ,33.0 ,59.0 ,48.8 ,54.8 ,37.5 ,96.8 ,10,2.4 ,10215.7 ,14.1 ,0.1 ,39.7 ,64.4 ,45.0 ,53.4 ,34.9 ,98.5 ,10
2008.03.23,35.2101 ,4,2.6 ,10147.4 ,21.2 ,75.8 ,55.2 ,53.4 ,75.3 ,67.0 ,52.5 ,128.4 ,0,1.6 ,10192.5 ,17.4 ,30.4 ,41.8 ,53.7 ,68.3 ,60.6 ,43.5 ,120.9 ,8,2.1 ,10201.8 ,16.7 ,18.6 ,40.8 ,57.4 ,56.1 ,57.1 ,41.1 ,107.8 ,10
2008.04.01,5.0692 ,2,2.7 ,10126.8 ,20.6 ,93.5 ,61.7 ,53.4 ,76.2 ,60.0 ,51.7 ,132.5 ,0,1.8 ,10170.1 ,18.2 ,48.7 ,46.9 ,53.8 ,71.2 ,60.0 ,45.8 ,127.8 ,6,2.2 ,10192.0 ,17.2 ,26.6 ,42.7 ,57.1 ,59.6 ,58.0 ,42.0 ,111.8 ,10
2008.04.27,227.8447 ,5,30.0 ,10088.5 ,20.3 ,133.9 ,99.3 ,66.1 ,56.5 ,53.4 ,47.7 ,112.8 ,0,15.9 ,10106.8 ,20.7 ,112.2 ,78.1 ,58.1 ,70.2 ,58.5 ,49.6 ,125.8 ,0,11.1 ,10146.3 ,18.6 ,72.1 ,62.7 ,57.8 ,67.2 ,58.0 ,45.6 ,121.7 ,7
2008.05.07,455.6894 ,5,46.5 ,10055.3 ,22.8 ,164.1 ,125.2 ,67.8 ,74.9 ,54.2 ,48.0 ,111.8 ,0,24.6 ,10081.1 ,22.1 ,135.8 ,98.3 ,62.2 ,72.6 ,56.6 ,49.8 ,121.5 ,0,16.7 ,10123.5 ,20.7 ,97.7 ,76.6 ,58.1 ,72.7 ,58.9 ,48.1 ,123.8 ,3
2008.05.16,258.1452 ,5,35.4 ,10052.7 ,24.0 ,175.9 ,132.8 ,66.0 ,79.1 ,54.5 ,50.4 ,107.9 ,0,25.3 ,10072.7 ,22.0 ,146.3 ,107.7 ,63.5 ,71.7 ,55.3 ,49.6 ,116.9 ,0,17.2 ,10106.4 ,21.5 ,117.3 ,88.2 ,60.2 ,72.8 ,59.1 ,49.6 ,121.2 ,0
2008.05.29,57.6670 ,5,22.7 ,10012.3 ,20.8 ,209.2 ,165.6 ,67.5 ,75.7 ,51.7 ,47.6 ,115.3 ,0,25.9 ,10049.0 ,20.6 ,173.9 ,134.0 ,66.9 ,70.1 ,53.0 ,47.4 ,116.0 ,0,18.2 ,10072.2 ,20.9 ,148.4 ,109.9 ,61.8 ,72.4 ,55.6 ,49.3 ,121.7 ,0
2008.06.06,21.4001 ,3,19.9 ,10017.2 ,18.6 ,206.1 ,155.8 ,65.3 ,74.1 ,50.7 ,46.2 ,116.7 ,0,33.2 ,10036.3 ,20.7 ,185.1 ,140.5 ,66.5 ,74.5 ,52.5 ,47.1 ,114.3 ,0,23.1 ,10058.0 ,20.8 ,160.7 ,118.9 ,63.5 ,72.6 ,54.3 ,48.6 ,119.1 ,0
2009.02.26,8.5334 ,2,8.3 ,10135.2 ,19.2 ,51.5 ,65.0 ,73.3 ,38.9 ,70.8 ,40.5 ,94.0 ,0,4.8 ,10180.8 ,17.2 ,14.8 ,48.0 ,66.5 ,49.2 ,68.1 ,40.6 ,105.5 ,12,3.2 ,10181.2 ,17.6 ,15.2 ,46.0 ,64.5 ,53.6 ,72.0 ,40.9 ,111.4 ,16
2009.03.23,23.1799 ,3,9.7 ,10124.9 ,21.1 ,78.0 ,68.5 ,64.2 ,59.7 ,75.6 ,47.9 ,106.7 ,0,7.0 ,10137.1 ,20.2 ,57.3 ,63.9 ,66.8 ,52.4 ,73.1 ,44.6 ,107.3 ,4,5.1 ,10167.3 ,18.2 ,32.9 ,53.4 ,65.0 ,54.6 ,69.6 ,42.2 ,108.4 ,13
2009.04.01,3.0682 ,2,6.2 ,10125.8 ,23.0 ,89.1 ,71.9 ,63.2 ,67.1 ,72.3 ,49.6 ,110.5 ,0,7.2 ,10134.9 ,20.6 ,71.1 ,69.7 ,69.5 ,50.8 ,71.5 ,44.6 ,99.1 ,0,4.8 ,10161.6 ,19.0 ,41.7 ,56.8 ,65.7 ,54.8 ,69.9 ,43.1 ,108.2 ,11
2009.04.27,117.5671 ,5,18.4 ,10098.5 ,18.7 ,140.8 ,104.5 ,65.6 ,73.3 ,56.0 ,45.2 ,124.6 ,0,12.1 ,10114.4 ,19.9 ,111.8 ,87.1 ,64.8 ,70.0 ,63.8 ,46.7 ,118.3 ,0,10.8 ,10121.4 ,19.7 ,91.7 ,79.8 ,67.6 ,59.6 ,66.1 ,44.6 ,110.2 ,0
2009.05.08,235.1342 ,5,18.0 ,10073.0 ,20.0 ,177.1 ,124.6 ,62.9 ,85.3 ,53.8 ,47.1 ,133.1 ,0,12.1 ,10098.6 ,21.0 ,140.6 ,102.2 ,63.6 ,79.0 ,60.7 ,47.7 ,126.0 ,0,10.8 ,10112.3 ,20.4 ,111.5 ,89.3 ,66.0 ,67.2 ,65.9 ,46.3 ,114.8 ,0
2009.05.15,184.4922 ,5,20.1 ,10063.5 ,20.3 ,182.7 ,132.5 ,64.3 ,80.9 ,50.6 ,47.0 ,128.9 ,0,11.9 ,10085.9 ,20.4 ,155.1 ,113.8 ,64.6 ,78.5 ,57.6 ,46.8 ,126.4 ,0,10.6 ,10109.8 ,20.5 ,121.5 ,95.0 ,64.8 ,69.2 ,61.9 ,46.5 ,115.8 ,0
2009.05.29,25.3335 ,3,8.8 ,10060.6 ,18.5 ,203.9 ,157.2 ,68.3 ,76.3 ,43.2 ,43.0 ,122.9 ,0,13.6 ,10077.4 ,18.4 ,174.4 ,132.6 ,67.3 ,76.0 ,49.4 ,44.0 ,126.4 ,0,11.0 ,10094.2 ,19.7 ,145.6 ,112.1 ,65.9 ,73.9 ,57.0 ,46.0 ,121.8 ,0
2009.06.07,25.4999 ,3,10.4 ,10024.7 ,17.1 ,213.8 ,167.2 ,68.8 ,75.1 ,45.9 ,43.0 ,122.6 ,4,14.2 ,10048.8 ,18.6 ,195.5 ,145.9 ,65.9 ,80.2 ,49.9 ,45.1 ,127.9 ,4,11.5 ,10073.9 ,19.7 ,165.0 ,123.9 ,65.3 ,77.7 ,55.8 ,46.2 ,124.8 ,4
2010.02.23,2.3801 ,2,3.7 ,10176.1 ,16.4 ,17.4 ,49.8 ,71.3 ,52.0 ,60.0 ,36.5 ,94.6 ,3,2.4 ,10189.0 ,16.6 ,-3.5 ,39.9 ,64.3 ,59.4 ,67.0 ,38.4 ,99.7 ,14,2.4 ,10192.1 ,15.9 ,4.3 ,45.8 ,69.3 ,52.7 ,60.7 ,36.5 ,92.0 ,17
2010.03.23,1.7701 ,1,5.4 ,10119.1 ,22.6 ,65.3 ,62.8 ,63.9 ,58.5 ,84.2 ,46.6 ,95.7 ,0,4.5 ,10153.6 ,19.4 ,37.4 ,54.6 ,67.3 ,55.1 ,72.9 ,41.8 ,94.6 ,3,3.4 ,10166.6 ,18.5 ,18.4 ,47.1 ,64.2 ,58.4 ,72.8 ,40.9 ,98.6 ,14
2010.04.01,0.6003 ,1,3.0 ,10145.3 ,23.0 ,70.2 ,61.7 ,60.7 ,66.7 ,83.4 ,47.4 ,95.0 ,0,4.5 ,10147.8 ,20.6 ,51.9 ,60.0 ,67.0 ,56.7 ,69.8 ,43.1 ,92.9 ,0,3.4 ,10165.3 ,19.1 ,29.9 ,51.7 ,64.9 ,59.0 ,72.7 ,41.2 ,97.9 ,11
2010.04.21,6.4032 ,2,1.5 ,10126.9 ,24.8 ,114.5 ,83.2 ,60.8 ,78.2 ,68.6 ,49.1 ,100.1 ,0,3.4 ,10123.3 ,23.8 ,89.4 ,72.8 ,62.4 ,70.0 ,76.2 ,48.0 ,100.0 ,0,3.5 ,10147.1 ,21.2 ,61.8 ,63.6 ,65.1 ,63.8 ,71.3 ,44.3 ,96.8 ,3
2010.05.01,12.8064 ,3,10.7 ,10114.5 ,25.5 ,123.0 ,87.4 ,61.1 ,85.8 ,67.2 ,54.4 ,105.4 ,0,6.9 ,10129.9 ,24.3 ,96.6 ,74.5 ,60.9 ,76.3 ,75.3 ,50.9 ,100.2 ,0,6.6 ,10136.7 ,22.2 ,75.6 ,69.1 ,65.0 ,66.4 ,69.0 ,46.9 ,97.0 ,2
2010.05.17,106.6533 ,5,14.5 ,10065.4 ,21.8 ,170.3 ,124.7 ,64.1 ,91.4 ,54.5 ,48.8 ,117.1 ,0,8.2 ,10094.9 ,24.0 ,137.6 ,99.6 ,61.9 ,83.7 ,67.5 ,50.2 ,109.2 ,0,7.1 ,10109.3 ,23.1 ,109.4 ,85.7 ,62.5 ,77.9 ,69.5 ,48.4 ,106.3 ,0
2010.05.29,6.8667 ,2,12.5 ,10031.9 ,18.3 ,198.8 ,152.8 ,66.9 ,87.2 ,48.0 ,42.0 ,121.1 ,0,11.6 ,10073.4 ,21.9 ,160.4 ,120.9 ,64.5 ,84.8 ,58.3 ,47.7 ,110.5 ,0,9.5 ,10097.5 ,22.4 ,128.4 ,100.4 ,63.5 ,77.9 ,66.8 ,47.8 ,104.8 ,0
2010.06.15,20.0000 ,3,11.7 ,10043.8 ,16.8 ,205.9 ,165.8 ,70.1 ,84.0 ,43.3 ,37.9 ,113.0 ,0,11.7 ,10064.7 ,20.6 ,175.2 ,137.8 ,67.4 ,84.4 ,54.2 ,45.1 ,109.8 ,0,8.9 ,10087.0 ,22.3 ,147.7 ,114.3 ,64.1 ,83.4 ,64.3 ,47.4 ,108.9 ,0
2011.02.24,5.5361 ,2,1.5 ,10194.6 ,13.5 ,2.6 ,34.1 ,56.6 ,63.9 ,56.2 ,34.6 ,125.7 ,8,0.7 ,10208.4 ,14.1 ,-18.6 ,27.6 ,52.7 ,67.2 ,57.0 ,36.1 ,120.9 ,26,0.6 ,10184.7 ,15.6 ,-2.5 ,33.6 ,55.2 ,71.7 ,65.8 ,38.4 ,123.8 ,28
2011.03.23,3.7352 ,2,7.2 ,10158.8 ,19.0 ,62.3 ,51.2 ,57.6 ,69.8 ,65.5 ,45.9 ,115.1 ,0,4.4 ,10181.3 ,16.3 ,28.1 ,41.5 ,56.9 ,65.7 ,60.7 ,40.5 ,119.0 ,10,2.9 ,10194.8 ,15.7 ,5.9 ,34.7 ,54.0 ,68.1 ,61.4 ,39.6 ,116.5 ,27
2011.04.01,2.6681 ,2,0.4 ,10167.0 ,18.6 ,79.5 ,48.9 ,49.1 ,89.4 ,65.8 ,47.4 ,133.0 ,0,4.4 ,10167.8 ,17.0 ,47.2 ,44.5 ,55.3 ,72.3 ,62.0 ,41.6 ,125.9 ,5,2.9 ,10195.8 ,15.5 ,17.8 ,36.7 ,53.3 ,70.7 ,59.7 ,39.2 ,122.6 ,24
2011.04.28,208.6376 ,5,3.6 ,10101.4 ,21.1 ,137.9 ,83.0 ,54.6 ,95.2 ,66.6 ,47.9 ,144.3 ,0,4.4 ,10134.9 ,19.9 ,102.8 ,65.6 ,53.8 ,87.7 ,65.3 ,47.3 ,132.9 ,0,4.1 ,10153.3 ,18.1 ,70.1 ,55.6 ,55.5 ,77.6 ,62.9 ,43.5 ,129.5 ,7
2011.05.09,417.2752 ,5,3.5 ,10051.4 ,22.1 ,170.4 ,107.9 ,56.2 ,101.4 ,70.4 ,49.9 ,134.5 ,0,4.0 ,10103.7 ,20.9 ,134.0 ,83.3 ,52.6 ,92.0 ,67.4 ,49.0 ,134.8 ,0,5.4 ,10128.7 ,19.3 ,97.5 ,70.8 ,57.0 ,81.3 ,63.7 ,44.9 ,124.7 ,3
2011.05.16,193.2299 ,5,17.3 ,10032.0 ,21.9 ,180.6 ,122.1 ,59.3 ,94.5 ,62.1 ,47.6 ,117.5 ,0,9.5 ,10089.5 ,20.5 ,145.8 ,94.0 ,55.2 ,91.4 ,62.3 ,47.3 ,131.5 ,0,8.6 ,10115.9 ,19.5 ,112.4 ,78.9 ,57.2 ,84.2 ,62.3 ,45.3 ,126.8 ,1
2011.05.26,33.2002 ,4,18.9 ,10025.3 ,19.1 ,195.4 ,144.7 ,64.8 ,87.7 ,58.0 ,44.0 ,108.0 ,0,11.2 ,10069.7 ,20.1 ,163.7 ,111.9 ,59.3 ,91.5 ,61.2 ,46.0 ,128.2 ,0,9.9 ,10102.4 ,19.8 ,130.6 ,90.9 ,57.7 ,85.3 ,63.4 ,46.4 ,123.4 ,0
2011.06.07,23.0350 ,3,17.6 ,10028.5 ,18.0 ,212.9 ,158.1 ,64.6 ,94.3 ,49.5 ,41.4 ,115.9 ,2,10.6 ,10040.0 ,20.0 ,191.7 ,133.0 ,60.4 ,97.9 ,60.0 ,45.6 ,125.2 ,2,7.6 ,10081.3 ,19.9 ,158.6 ,106.3 ,56.1 ,93.4 ,62.0 ,46.5 ,128.5 ,2
2012.02.29,2.0133 ,2,1.0 ,10194.7 ,14.7 ,5.3 ,36.0 ,56.2 ,62.4 ,63.3 ,40.9 ,99.0 ,5,0.8 ,10208.2 ,13.2 ,-4.7 ,37.5 ,63.5 ,57.4 ,56.4 ,36.0 ,98.3 ,12,2.2 ,10219.6 ,12.5 ,-2.5 ,40.0 ,66.6 ,58.9 ,54.2 ,34.2 ,95.2 ,13
2012.03.26,2.0677 ,2,8.5 ,10154.7 ,16.9 ,51.4 ,51.2 ,58.4 ,63.9 ,59.7 ,42.4 ,97.3 ,0,4.7 ,10174.0 ,15.9 ,27.3 ,44.1 ,58.4 ,61.6 ,60.9 ,41.6 ,100.4 ,5,3.3 ,10192.8 ,14.4 ,13.9 ,42.8 ,62.9 ,57.5 ,57.1 ,37.8 ,97.0 ,12
2012.04.01,1.9343 ,1,6.8 ,10146.2 ,17.9 ,72.8 ,57.6 ,57.3 ,68.9 ,62.9 ,44.9 ,105.8 ,0,4.7 ,10168.7 ,16.1 ,40.4 ,47.0 ,56.4 ,66.1 ,61.8 ,42.7 ,101.9 ,5,3.3 ,10185.4 ,14.8 ,22.2 ,44.4 ,61.1 ,61.6 ,58.2 ,39.1 ,100.6 ,12
2012.05.02,31.9646 ,4,9.3 ,10045.2 ,19.9 ,167.4 ,127.4 ,67.7 ,90.9 ,59.3 ,46.2 ,124.8 ,0,7.9 ,10094.0 ,19.2 ,121.8 ,92.8 ,62.1 ,80.3 ,61.7 ,45.9 ,117.1 ,0,6.2 ,10128.0 ,17.5 ,81.9 ,72.8 ,59.9 ,74.2 ,61.7 ,44.1 ,109.9 ,5
2012.05.08,41.5541 ,4,9.0 ,10029.1 ,18.6 ,188.3 ,151.8 ,71.4 ,91.5 ,51.2 ,43.4 ,122.3 ,0,7.9 ,10082.2 ,19.2 ,140.3 ,108.1 ,64.3 ,84.4 ,59.1 ,45.7 ,123.3 ,0,6.2 ,10112.9 ,17.5 ,101.0 ,85.3 ,61.5 ,77.4 ,57.7 ,43.5 ,113.2 ,4
2012.05.14,19.2763 ,3,8.0 ,10022.9 ,18.6 ,200.9 ,167.6 ,72.7 ,93.9 ,49.4 ,42.7 ,123.2 ,0,7.9 ,10066.4 ,18.5 ,157.0 ,123.4 ,66.9 ,83.9 ,57.3 ,45.1 ,121.3 ,0,6.1 ,10101.3 ,17.8 ,116.5 ,96.6 ,62.8 ,79.6 ,57.9 ,43.5 ,112.9 ,1
2012.05.25,13.2001 ,3,8.0 ,10017.6 ,17.1 ,214.4 ,174.6 ,70.6 ,95.9 ,44.5 ,40.9 ,123.7 ,0,4.7 ,10048.2 ,17.8 ,184.3 ,141.3 ,66.6 ,92.0 ,52.6 ,43.2 ,125.4 ,0,5.9 ,10083.7 ,17.5 ,140.0 ,111.3 ,63.9 ,82.6 ,55.0 ,42.9 ,116.0 ,0
2012.06.08,11.7501 ,3,0.5 ,10014.2 ,14.9 ,231.2 ,181.9 ,66.7 ,82.1 ,39.9 ,36.4 ,122.1 ,2,4.3 ,10018.6 ,16.8 ,216.1 ,174.7 ,69.7 ,88.0 ,44.6 ,39.6 ,122.7 ,3,5.4 ,10049.0 ,17.3 ,181.8 ,142.9 ,66.9 ,83.3 ,51.5 ,42.2 ,121.6 ,3
2013.02.26,1.6675 ,1,4.5 ,10188.4 ,15.8 ,22.7 ,59.2 ,81.2 ,37.3 ,65.9 ,37.0 ,83.3 ,1,3.0 ,10198.6 ,14.3 ,1.1 ,52.0 ,82.6 ,43.2 ,63.3 ,34.0 ,83.2 ,8,6.1 ,10202.8 ,14.9 ,-2.8 ,48.3 ,78.6 ,43.7 ,63.2 ,34.8 ,81.2 ,14
2013.03.26,2.0348 ,2,3.0 ,10121.2 ,21.6 ,86.6 ,66.0 ,59.5 ,72.3 ,93.6 ,47.2 ,115.8 ,0,3.7 ,10158.2 ,18.3 ,50.4 ,61.0 ,70.8 ,55.5 ,79.2 ,41.0 ,96.9 ,1,3.9 ,10178.0 ,16.7 ,25.1 ,54.7 ,74.6 ,53.2 ,73.6 ,37.8 ,92.3 ,10
2013.04.01,1.8676 ,1,3.0 ,10115.5 ,23.3 ,93.4 ,66.2 ,56.6 ,73.6 ,92.5 ,49.0 ,117.0 ,0,3.7 ,10152.7 ,19.7 ,58.3 ,61.9 ,67.7 ,57.1 ,81.2 ,43.4 ,100.1 ,1,3.0 ,10171.8 ,17.4 ,32.9 ,56.6 ,73.3 ,53.5 ,73.9 ,39.2 ,93.7 ,7
2013.05.02,5.5583 ,2,3.1 ,10073.2 ,19.1 ,140.7 ,91.5 ,56.6 ,90.6 ,69.1 ,46.4 ,129.1 ,0,3.1 ,10091.3 ,21.4 ,119.0 ,79.9 ,56.9 ,81.6 ,80.6 ,48.1 ,122.1 ,0,3.5 ,10125.7 ,19.6 ,86.9 ,71.9 ,63.5 ,69.1 ,77.1 ,44.6 ,110.0 ,1
2013.05.08,8.3375 ,2,3.4 ,10074.7 ,18.5 ,156.9 ,104.8 ,58.1 ,92.8 ,63.5 ,44.3 ,127.4 ,0,3.3 ,10089.9 ,21.2 ,126.1 ,87.1 ,58.4 ,80.8 ,77.4 ,47.3 ,116.9 ,0,2.2 ,10119.7 ,19.7 ,98.5 ,77.1 ,62.0 ,73.7 ,74.5 ,44.7 ,115.1 ,1
2013.05.14,63.9653 ,5,11.2 ,10053.5 ,18.7 ,173.5 ,127.4 ,64.7 ,87.1 ,58.0 ,42.0 ,120.7 ,0,5.7 ,10075.6 ,20.5 ,137.6 ,98.5 ,60.7 ,81.4 ,70.0 ,46.2 ,118.1 ,0,4.8 ,10102.9 ,20.0 ,113.4 ,86.1 ,62.3 ,76.8 ,72.9 ,45.2 ,117.5 ,0
2013.05.25,15.4712 ,2,11.2 ,10034.0 ,16.8 ,207.1 ,154.3 ,65.0 ,96.7 ,53.6 ,39.9 ,129.3 ,1,7.2 ,10060.9 ,19.3 ,163.8 ,118.4 ,61.3 ,85.9 ,62.7 ,44.3 ,123.0 ,1,5.8 ,10081.0 ,20.1 ,138.1 ,101.0 ,60.7 ,81.4 ,73.0 ,45.3 ,120.6 ,1
2013.06.13,3.4971 ,2,51.8 ,10013.6 ,18.5 ,226.1 ,194.7 ,72.8 ,85.3 ,49.8 ,39.0 ,108.0 ,2,31.5 ,10033.6 ,18.6 ,199.8 ,161.1 ,68.7 ,86.2 ,53.9 ,40.5 ,114.4 ,2,21.0 ,10054.9 ,19.8 ,167.1 ,130.6 ,64.7 ,82.7 ,63.3 ,43.8 ,114.7 ,2
2014.02.26,0.6933 ,1,6.5 ,10199.8 ,15.4 ,18.6 ,51.5 ,72.3 ,48.7 ,56.8 ,35.7 ,89.5 ,2,3.3 ,10200.9 ,14.6 ,10.8 ,44.8 ,68.2 ,54.9 ,57.5 ,35.9 ,109.3 ,5,2.2 ,10200.2 ,13.3 ,8.4 ,45.8 ,71.1 ,57.0 ,54.4 ,33.8 ,112.5 ,9
2014.03.24,0.4303 ,1,0.9 ,10173.9 ,18.3 ,88.9 ,62.9 ,57.5 ,67.4 ,52.3 ,43.1 ,121.5 ,0,3.7 ,10182.7 ,17.3 ,52.0 ,55.2 ,63.4 ,57.0 ,57.9 ,40.1 ,107.2 ,2,2.5 ,10193.3 ,15.7 ,32.7 ,49.4 ,64.6 ,58.7 ,56.8 ,38.4 ,113.1 ,7
2014.04.10,0.3555 ,1,0.2 ,10114.9 ,19.2 ,142.4 ,90.5 ,55.9 ,84.9 ,62.7 ,45.4 ,131.6 ,0,1.0 ,10165.6 ,17.1 ,89.9 ,71.3 ,60.7 ,71.6 ,54.6 ,41.2 ,116.9 ,2,2.5 ,10176.1 ,16.8 ,63.8 ,62.9 ,63.7 ,62.4 ,59.1 ,40.1 ,112.5 ,2
2014.04.28,0.5669 ,1,14.8 ,10105.0 ,14.3 ,163.4 ,125.5 ,69.0 ,62.4 ,51.9 ,38.1 ,113.3 ,0,7.8 ,10127.3 ,16.8 ,134.2 ,99.2 ,63.2 ,63.9 ,53.9 ,41.4 ,117.2 ,0,7.4 ,10151.8 ,16.3 ,96.4 ,83.8 ,66.4 ,58.2 ,54.2 ,39.5 ,107.3 ,2
2014.05.08,1.1339 ,1,14.8 ,10097.2 ,15.6 ,171.7 ,131.6 ,69.4 ,69.1 ,52.5 ,39.0 ,115.3 ,0,7.5 ,10109.3 ,17.5 ,153.9 ,108.6 ,62.4 ,76.3 ,57.6 ,42.2 ,123.5 ,0,5.9 ,10145.1 ,16.5 ,112.9 ,89.3 ,63.8 ,68.8 ,54.1 ,40.1 ,114.3 ,2
2014.05.18,8.5376 ,2,22.9 ,10071.4 ,18.9 ,182.3 ,131.9 ,65.3 ,83.6 ,53.4 ,42.8 ,122.8 ,0,14.4 ,10090.3 ,17.4 ,168.8 ,120.9 ,64.1 ,78.9 ,55.5 ,41.8 ,122.4 ,0,10.2 ,10121.5 ,17.4 ,136.9 ,100.7 ,63.0 ,73.4 ,53.9 ,41.5 ,119.8 ,0
2014.05.28,0.5667 ,1,17.2 ,10037.2 ,19.6 ,209.9 ,141.0 ,58.9 ,102.8 ,55.5 ,45.3 ,142.8 ,4,16.0 ,10072.5 ,17.0 ,186.5 ,132.9 ,63.9 ,83.0 ,53.5 ,41.4 ,128.3 ,4,10.8 ,10096.7 ,17.7 ,160.3 ,113.5 ,61.7 ,77.9 ,54.4 ,42.6 ,126.5 ,4
2014.06.07,0.6014 ,1,22.1 ,10010.9 ,18.5 ,229.7 ,162.1 ,60.8 ,94.2 ,46.4 ,42.9 ,138.1 ,7,18.5 ,10058.7 ,17.0 ,197.4 ,144.0 ,65.0 ,81.1 ,50.3 ,41.1 ,127.6 ,7,12.4 ,10081.3 ,17.8 ,175.2 ,124.0 ,62.0 ,81.5 ,54.2 ,42.6 ,128.1 ,7
2015.02.28,0.6520 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.03.26,1.3011 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.04.03,1.0757 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.05.02,1.7144 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.05.07,3.4283 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.05.14,15.8151 ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.05.26,0.5007 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.06.11,0.3400 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016.02.09,0.4067 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016.03.27,0.5900 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016.04.03,0.4873 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016.05.02,0.8771 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016.05.09,1.5047 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016.05.16,8.7062 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016.05.26,0.2460 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016.06.10,0.2152 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
